"No.","Time","Source","Destination","Protocol","Length","Info"
"153","03:37:31.526733968","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=1105 Ack=2663 Win=64128 Len=0 TSval=2453319256 TSecr=860028139"
"154","03:37:36.125397108","fe80::2860:e0ad:d860:d4d5","fe80::ae84:c6ff:fe4e:7874","ICMPv6","86","Neighbor Solicitation for fe80::ae84:c6ff:fe4e:7874 from 98:22:ef:81:a3:7b"
"155","03:37:36.129087117","fe80::ae84:c6ff:fe4e:7874","fe80::2860:e0ad:d860:d4d5","ICMPv6","78","Neighbor Advertisement fe80::ae84:c6ff:fe4e:7874 (rtr, sol)"
"156","03:37:38.946303360","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"157","03:37:38.947583017","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"158","03:37:38.948828681","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"159","03:37:44.530186552","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"160","03:37:44.531402443","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"161","03:37:44.532656184","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"162","03:37:48.626142758","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"163","03:37:48.627393580","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"164","03:37:48.628619936","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"165","03:37:55.794246024","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"166","03:37:55.795458421","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"167","03:37:55.796770178","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"168","03:38:00.197404743","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"169","03:38:00.198776353","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"170","03:38:00.200123482","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"171","03:38:08.184704208","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"172","03:38:08.185930144","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"173","03:38:08.187181752","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"174","03:38:11.360341651","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"175","03:38:11.361774447","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"176","03:38:11.825788613","192.168.1.103","94.130.12.30","TLSv1.2","328","Application Data"
"177","03:38:12.076106050","94.130.12.30","192.168.1.103","TLSv1.2","158","Application Data"
"178","03:38:12.076132613","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=1367 Ack=2755 Win=64128 Len=0 TSval=2453359805 TSecr=860038260"
"179","03:38:16.992025721","Tp-LinkT_4e:78:74","LiteonTe_81:a3:7b","ARP","42","Who has 192.168.1.103? Tell 192.168.1.1"
"180","03:38:16.992034849","LiteonTe_81:a3:7b","Tp-LinkT_4e:78:74","ARP","42","192.168.1.103 is at 98:22:ef:81:a3:7b"
"181","03:38:20.370168912","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"182","03:38:20.371490236","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"183","03:38:20.372651612","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"184","03:38:28.971838493","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"185","03:38:28.973059678","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
